epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,12731.2,0.76738,0.55053,1.05231,0.85981,0.87485,0.90548,0.68928,0.91408,0.61446,1.07686,0.00110718,0.00110718,0.00110718
121,12837,0.76545,0.54808,1.05129,0.86045,0.87475,0.90541,0.68961,0.91388,0.61408,1.07675,0.00104537,0.00104537,0.00104537
122,12943.6,0.76405,0.54362,1.04881,0.8607,0.87474,0.90562,0.68978,0.91374,0.61411,1.07666,0.000985311,0.000985311,0.000985311
123,13049.5,0.75836,0.53544,1.04425,0.86275,0.87427,0.90594,0.69016,0.91356,0.61438,1.07657,0.00092704,0.00092704,0.00092704
124,13155.5,0.75901,0.53874,1.04453,0.8608,0.8776,0.90643,0.69066,0.91362,0.61416,1.0766,0.000870577,0.000870577,0.000870577
125,13262.3,0.75416,0.53466,1.04565,0.86178,0.87824,0.90673,0.69127,0.91346,0.61429,1.0767,0.000815947,0.000815947,0.000815947
126,13368.5,0.75356,0.53186,1.04183,0.8616,0.87804,0.90691,0.69188,0.91336,0.61408,1.0767,0.000763174,0.000763174,0.000763174
127,13475.1,0.74868,0.52475,1.04263,0.86152,0.87778,0.90734,0.69212,0.91328,0.61356,1.07667,0.000712282,0.000712282,0.000712282
128,13581.3,0.74559,0.52243,1.03821,0.86519,0.87494,0.90793,0.69261,0.91318,0.61343,1.07672,0.000663292,0.000663292,0.000663292
129,13686.6,0.74563,0.52277,1.03907,0.86365,0.87672,0.90778,0.6928,0.91323,0.61331,1.07692,0.000616227,0.000616227,0.000616227
130,13792.2,0.73583,0.51499,1.03603,0.8679,0.87236,0.90812,0.69316,0.91306,0.61328,1.07705,0.000571106,0.000571106,0.000571106
131,13897.5,0.73793,0.51384,1.03645,0.86806,0.87261,0.90847,0.69312,0.91313,0.61349,1.07715,0.00052795,0.00052795,0.00052795
132,14003.5,0.73612,0.51246,1.03532,0.86865,0.87256,0.90831,0.69313,0.91309,0.61358,1.0772,0.000486777,0.000486777,0.000486777
133,14109.6,0.73176,0.50883,1.03407,0.8669,0.87443,0.90874,0.69316,0.91309,0.6137,1.07735,0.000447606,0.000447606,0.000447606
134,14215.3,0.73451,0.50823,1.03359,0.86698,0.87577,0.9086,0.69311,0.91311,0.61397,1.07756,0.000410454,0.000410454,0.000410454
135,14321.6,0.73058,0.50723,1.03336,0.86584,0.87512,0.90858,0.69296,0.91313,0.61445,1.07768,0.000375337,0.000375337,0.000375337
136,14427.6,0.73079,0.50632,1.03094,0.86613,0.87561,0.90879,0.6932,0.91318,0.61458,1.07784,0.00034227,0.00034227,0.00034227
137,14534,0.72498,0.50165,1.02881,0.86515,0.87602,0.9089,0.69323,0.91333,0.61489,1.07802,0.000311268,0.000311268,0.000311268
138,14639.8,0.72393,0.50023,1.02879,0.86435,0.87685,0.90881,0.69314,0.91339,0.61533,1.0782,0.000282345,0.000282345,0.000282345
139,14746.2,0.72606,0.49717,1.02827,0.86851,0.87335,0.90894,0.69319,0.91346,0.61557,1.07846,0.000255513,0.000255513,0.000255513
140,14852.3,0.71963,0.49473,1.0264,0.86971,0.87178,0.90907,0.69348,0.9134,0.61593,1.07856,0.000230784,0.000230784,0.000230784
141,14960.6,0.70407,0.42768,0.9905,0.8694,0.87259,0.90922,0.69348,0.91329,0.616,1.07871,0.000208169,0.000208169,0.000208169
142,15068.2,0.69461,0.41543,0.98536,0.87136,0.87191,0.90928,0.69333,0.91319,0.61641,1.07879,0.000187678,0.000187678,0.000187678
143,15176.1,0.68859,0.41015,0.98141,0.87041,0.87206,0.9093,0.69375,0.91288,0.61672,1.07885,0.00016932,0.00016932,0.00016932
144,15284.5,0.6854,0.4066,0.97899,0.87113,0.87172,0.90949,0.69343,0.9129,0.61688,1.07917,0.000153102,0.000153102,0.000153102
145,15393.2,0.68389,0.40506,0.97959,0.87171,0.86963,0.90939,0.69394,0.91287,0.61717,1.07944,0.000139032,0.000139032,0.000139032
146,15501.5,0.68003,0.40278,0.97787,0.87129,0.86994,0.9093,0.69381,0.91316,0.61759,1.07996,0.000127117,0.000127117,0.000127117
147,15609.9,0.67803,0.40039,0.97605,0.87109,0.86984,0.90946,0.69398,0.91327,0.61823,1.08046,0.00011736,0.00011736,0.00011736
148,15718.3,0.68035,0.39992,0.97726,0.86789,0.87507,0.90949,0.6937,0.91338,0.61862,1.08095,0.000109768,0.000109768,0.000109768
149,15826.1,0.67816,0.39869,0.97659,0.86811,0.87475,0.90941,0.69352,0.91349,0.61885,1.08136,0.000104342,0.000104342,0.000104342
150,15934.7,0.67498,0.39592,0.97503,0.86954,0.87277,0.9096,0.69402,0.91368,0.61934,1.08167,0.000101086,0.000101086,0.000101086
